company_name,cin,other_name,other_cin
A.K MAINTENANCE AND MANAGEMENT PRIVATE LIMITED,U74140DL2007PTC170179,A.K MAINTENANCE AND MANAGEMENT PRIVATELIMITED,
QUALITY CARE INDIA LIMITED,U85110TG1992PLC014728,A.K. DIAGNOSTICS LTD.,U85110AP1992PLC014728
A.K.G. SECURITIES AND CONSULTANCY LIMITED,U74899DL1994PLC059006,A.K.G. SECURITIES AND CONSULTANCYLIMITED,L74899DL1994PLC059006
A.N.E. INDUSTRIES PRIVATE LIMITED,U00000PB2003PTC026066,A.N.E. INDUSTRIES PRIV LIMITED;A.N.EARTHMOVERS AND INDUSTRIES PRIVATE LIMITED,
PHOENIX INFOCITY PRIVATE LIMITED,U24233TG2003PTC041279,A.P. HERBAL PARKS PRIVATE LIMITED;A.P.TECHNO PROJECTS PRIVATE LIMITED;L&T PHOENIX INFOPARKS PRIVATE LIMITED,U24233AP2003PTC041279
AQUAMALL WATER SOLUTIONS LIMITED,U29219TG1980PLC002851,A.P.INDUSTRIAL COMPONENTS LIMITED.,U29219AP1980PLC002851
A.R. BUILDERS AND DEVELOPERS PRIVATE LIMITED,U70101TN2004PTC054748,A.R. BUILDERS AND DEVELOPERS LIMITED;A.R. Builders and Developers Private Limited;A.R. BUILDERS AND DEVELOPERS PRIVATELIMITED;ECCI KOYA LIMITED,
A.R. REAL ESTATE DEVELOPERS PRIVATE LIMITED,U70109TN2007PTC064351,A.R. REAL ESTATE DEVELOPERS PRIVATELIMITED,
A.R.INDUSTRIAL ENGINEERS PRIVATE LIMITED,U74210TN1995PTC032568,A.R.INDUSTRIAL ENGINEERING PRIVATE LIMITED,
ARS ENERGY PRIVATE LIMITED,U40100TN1990PTC032178,A.R.S.METALS LIMITED;A.R.S.METALS PRIVATE LIMITED,U27209TN1990PTC032178
A. R. THERMOSETS PRIVATE LIMITED,U45206UP1991PTC013046,A.R.THERMOSETS PRIVATE LIMITED;ART INFRA SOLUTIONS PRIVATE LIMITED,
A S SHOE ACCESSORIES PRIVATE LIMITED,U74899HR1989PTC105665,A.S. SHOE EYELETS AND ACCESSORIES PVT.LTD.,U74899DL1989PTC038495
A.S.K.BROTHERS .PRIVATE LIMITED,U85110KA1984PTC006560,A.S.K.BROTHERS .LIMITED,U85110KA1984PLC006560
SHRI ROHITH SPINNERS PRIVATE LIMITED,U17114TN2000PTC044100,A.S.S.MILLS PRIVATE LIMITED,
INSPIRON ENGINEERING PRIVATE LIMITED,U28920GJ1996PTC050337,A.T. E INDUSTRIES PRIVATE LIMITED;InspirOn Engineering Private Limited;MOTEX ENGINEERING COMPANY PRIVATE LIMITED,
A.T.E. CHANDRA FOUNDATION,U74999MH2015NPL269584,A.T.E. Philanthropic Foundation,
ACSYS INVESTMENTS PRIVATE LIMITED,U72200TN1989PTC018287,A.T.G. COMPUTERS PRIVATE LIMITED;ACSYS SOFTWARE (INDIA) PRIVATE LIMITED,
AVT NATURAL PRODUCTS LIMITED,L15142TN1986PLC012780,A.V. THOMAS INDUSTRIAL PRODUCTS LTD,
BBAZAAR MARKETING AND ADVISORY SERVICES PRIVATE LIMITED,U74110TN2016PTC103950,A&A DUKAAN INSURANCE WEB AGGREGATOR PRIVATE LIMITE D;A&A DUKAAN INSURANCE WEB AGGREGATOR PRIVATE LIMITED;A&A DUKAAN INSURANCE WEB AGGREGATORPRIVATE LIMITED;AA DUKAAN INSURANCE WEB AGGREGATOR PRIVATE LIMITED;BBAZAAR MARKETING AND ADVISORY SERVICESPRIVATE LIMITED,U74900TN2016PTC103950
A1 AGRI GLOBAL LIMITED,U35105MH2020PLC451102,A1 AGRI GLOBAL PRIVATE LIMITED,U35105DL2020PLC366017;U35105UP2020PLC213073;U51909DL2020PLC366017;U51909DL2020PTC366017
A2MAC1 INDIA PRIVATE LIMITED,U74900TN2016PTC104128,A2mac1 India Private Limited,
A2Z INFRASERVICES LIMITED,U74140HR2008PLC037820,A2Z FACILITIES MANAGEMENT SERVICES PRIVATE LIMITED;A2Z INFRASERVICES PRIVATE LIMITED,
A2Z FILTRATION SPECIALITIES PRIVATE LIMITED,U74999DL2002PTC115146,A2Z FILTRATION SPECIALITIES PRIVATELIMITED,
A2Z INFRA ENGINEERING LIMITED,L74999HR2002PLC034805,A2Z MAINTENANCE & ENGINEERING SERVICES LIMITED;A2Z MAINTENANCE & ENGINEERING SERVICES PRIVATE LIM ITED,
ECOGREEN ENVIROTECH SOLUTIONS LIMITED,U90000HR2010PLC041510,A2Z WASTE MANAGEMENT (LONI) LIMITED;A2Z WASTE MANAGEMENT (LONI) PRIVATE LIMITED;A2Z WASTE MANAGEMENT LONI LIMITED,
3A FINANCIAL SERVICES LIMITED,U72200MH1999PLC118579,A3 CAPITAL SERVICES (INDIA) LIMITED;DWAR SOFTWARE LIMITED,
A3LOGICS (INDIA) PRIVATE LIMITED,U72900RJ2009PTC029969,A3LOGICS (INDIA) LIMITED.;A3LOGICS INDIA Private Limited,
SKILLS EDUCATION PRIVATE LIMITED,U85100DL2009PTC191587,A4E INDIA PRIVATE LIMITED,
A5E CONSULTING PRIVATE LIMITED,U74999MH2014PTC259304,A5E Consulting Private Limited,
TRIUMVIRATE SONS ENTERPRISES PRIVATE LIMITED,U51900MH2006PTC160697,AAA AND Sons Enterprises Private Limited;TRIUMVIRATE SONS ENTERPRISES PRIVATELIMITED,
AAA AVIATION PRIVATE LIMITED,U63033MH2007PTC172313,AAA Aviation Private Limited,
